system 	accuracy 	precision 	recall 	F-measure
QPS_NP 	0.466704288939 	0.399120050283 	0.618305744888 	0.485103132162
QPS_A1_N 	0.746613995485 	0.679096045198 	0.585199610516 	0.628661087866
QPS_A1_Y 	0.709085778781 	0.593120805369 	0.68841285297 	0.637223974763
QPS_A2_N 	0.718679458239 	0.668171557562 	0.59437751004 	0.629117959617
QPS_A2_Y 	0.636286681716 	0.533280507132 	0.675702811245 	0.596102745793
QPS_union 	0.719525959368 	0.713527851459 	0.667493796526 	0.689743589744
QPS_intersect 	0.809819413093 	0.685805422648 	0.530209617756 	0.598052851182
QPS_combine 	0.750846501129 	0.683529411765 	0.565725413827 	0.619072988812
